date,close,N_price
2018/9/14,14500,14.5
2018/9/17,14400,14.4
2018/9/18,14460,14.46
2018/9/19,14510,14.51
2018/9/20,14575,14.575
2018/9/21,14690,14.69
2018/9/25,14580,14.58
2018/9/26,14525,14.525
2018/9/27,14350,14.35
2018/9/28,14290,14.29
2018/10/8,14430,14.43
2018/10/9,14505,14.505
2018/10/10,14350,14.35
2018/10/11,14115,14.115
2018/10/12,14280,14.28
2018/10/15,14130,14.13
2018/10/16,14250,14.25
2018/10/17,14305,14.305
2018/10/18,14155,14.155
2018/10/19,14175,14.175
2018/10/22,14175,14.175
2018/10/23,14200,14.2
2018/10/24,14235,14.235
2018/10/25,14215,14.215
2018/10/26,14135,14.135
2018/10/29,14140,14.14
2018/10/30,14055,14.055
2018/10/31,13915,13.915
2018/11/1,13820,13.82
2018/11/2,13910,13.91
2018/11/5,13870,13.87
2018/11/6,13905,13.905
2018/11/7,13875,13.875
2018/11/8,13905,13.905
2018/11/9,13860,13.86
2018/11/12,13805,13.805
2018/11/13,13760,13.76
2018/11/14,13650,13.65
2018/11/15,13700,13.7
2018/11/16,13730,13.73
2018/11/19,13795,13.795
2018/11/20,13730,13.73
2018/11/21,13765,13.765
2018/11/22,13815,13.815
2018/11/23,13790,13.79
2018/11/26,13785,13.785
2018/11/27,13735,13.735
2018/11/28,13645,13.645
2018/11/29,13620,13.62
2018/11/30,13520,13.52
2018/12/3,13760,13.76
2018/12/4,13745,13.745
2018/12/5,13645,13.645
2018/12/6,13525,13.525
2018/12/7,13570,13.57
2018/12/10,13565,13.565
2018/12/11,13565,13.565
2018/12/12,13500,13.5
2018/12/13,13575,13.575
2018/12/14,13520,13.52
2018/12/17,13525,13.525
2018/12/18,13670,13.67
2018/12/19,13615,13.615
2018/12/20,13635,13.635
2018/12/21,13695,13.695
2018/12/24,13680,13.68
2018/12/25,13720,13.72
2018/12/26,13720,13.72
2018/12/27,13595,13.595
2018/12/28,13560,13.56
2019/1/2,13360,13.36
2019/1/3,13255,13.255
2019/1/4,13345,13.345
2019/1/7,13365,13.365
2019/1/8,13305,13.305
2019/1/9,13365,13.365
2019/1/10,13320,13.32
2019/1/11,13300,13.3
2019/1/14,13210,13.21
2019/1/15,13250,13.25
2019/1/16,13375,13.375
2019/1/17,13350,13.35
2019/1/18,13425,13.425
2019/1/21,13485,13.485
2019/1/22,13355,13.355
2019/1/23,13485,13.485
